動画台本テンプレート v2.2,,,,,
※ 2秒グリッド分割はAIが自動処理します。人間は「何を言いたいか」だけ書いてください。,,,,,
,,,,,
■ 動画の基本情報,,,,,
商品名,mauri MANUKA HONEY MGO263+,,,,
ターゲット（一言で）,60代女性・健康意識高い・マヌカハニーを知っているが選び方に自信がない（準顕在層）,,,,
記事LPのファーストビュー,"マヌカハニーを選ぶ時、何を基準にしていますか？実はMGO表示値と実測値が大きく異なる商品が多く、60代の方が毎日飲んでいても効果を感じにくいケースが後を絶ちません。mauriは政府認定ラボで実測MGO345を証明。農薬不検出。毎朝1杯で、本物が静かに体を守ります。",,,,
,,,,,
■ ナレーション設定,,,,,
ナレーション,あり,,,,
声のカテゴリー,女性・クール（健康食品・サプリ向き ← プルーストはこれが鉄板）,,,,
声の参考（あれば）,ほしVer3.0（referenceId: 54fa0418415a4103885ec909023b0285）,,,,
,,,,,
■ BGM設定,,,,,
BGMファイル,shortad-park/bgm/calm/sangatsunosundasora.mp3,,,,
,,,,,
■ 固定注釈（薬機法・景表法テキスト）,,,,,
注釈テキスト,表示位置（選択）,,,,
※個人の感想です。効果・効能を保証するものではありません。,左下,,,,
※本製品は食品です。,右下,,,,
,,,,,
■ 台本,,,,,
No.,テキスト（自由に書く）,使う素材（クリップID）,注釈（このシーンだけの指示）,,
1,そのマヌカハニー、本当にMGO入ってますか？,clip-001,,（STOP：H2衝撃型。準顕在層の核心ペイン直撃。2秒）,
2,高くて良さそうなものを選んでいるのに、毎朝続けているのに、なんとなく効いている実感がない…ありませんか？,clip-002,,,
3,実はですね。マヌカハニーの選び方、間違えているかもしれないんです。,clip-003,,,
4,実は市販品、ラベルのMGO数値が正しくないことが多いんです。なぜそうなるかは、概要欄で詳しく説明しています。,clip-004,,,
5,そこで出会ったのが、mauriというニュージーランド直送のマヌカハニーなんですが。,clip-005,,,
6,MGO実測値345、農薬不検出。政府認定ラボの証明書つきなんです。,clip-006,,,
7,毎朝1杯で、本物が静かに体を守ってくれます。,clip-012,,,
8,現役薬剤師さんも毎日食べているほど、信頼されているマヌカハニーです。,clip-008,,,
9,しかも今なら、初回だけ特別な価格でお試しできる方法があって。,clip-009,,,
10,定期縛りなし。合わなければいつでも解約できるので気軽に試せます。,clip-010,,,
11,これだけではないんです！,clip-011,テロップのみ・ナレーション短め,,
12,NZ産の木製スプーンも同梱で届いたその日から始められます。,clip-011,,,
13,通常7,200円のところ今だけ初回2,980円。在庫に限りがあります。欠品になると次の入荷まで2〜3ヶ月お待ちいただくことになりますので。,clip-009,,,
14,まずは概要欄のリンクから、実測MGO345の証明をご自身でチェックしてみてください。,clip-016,,,
15,mauri MANUKA HONEY — 今すぐ概要欄からチェックを。,clip-012,,,
,,,,,
■ 素材リスト（素材フォルダーの内容）,,,,,
素材ID,ファイル名,種別,説明（内容メモ）,,
clip-001,clip-001.webp,画像,60代女性・微笑み・朝の健康ルーティン（フック用）,,
clip-002,clip-002.webp,画像,既存対策を否定するビジュアル（運動・野菜・サプリ）,,
clip-003,clip-003.mp4,クリップ,既存否定のモーション動画（転換シーン）,,
clip-004,clip-004.webp,画像,MGO実証・権威資料・ラボ証明書のイメージ,,
clip-005,clip-005.mp4,クリップ,mauri商品のブランド動画（NZ直送イメージ）,,
clip-006,clip-006.webp,画像,MGO実測値・農薬不検出証明書の静止画,,
clip-007,clip-007.webp,画像,毎朝の習慣・ベネフィット（人物）,,
clip-008,clip-008.webp,画像,薬剤師推薦・権威イメージ,,
clip-009,clip-009.webp,画像,価格オファー画像（7200円→2980円）,,
clip-010,clip-010.webp,画像,定期縛りなし・解約自由オファー,,
clip-011,clip-011.webp,画像,mauri商品パッケージ・木製スプーン同梱,,
clip-012,clip-012.jpg,画像,mauri商品撮影（アンバー背景・蜂蜜ドリップ）高品質実写,,
clip-013,clip-013.jpg,画像,mauri使用シーン（ライフスタイル・フルーツ×パン）,,
clip-014,clip-014.mp4,クリップ,ベネフィット人物動画（共感・感情）,,
clip-015,clip-015.webp,画像,権威証明（薬剤師・信頼イメージ）,,
clip-016,clip-016.jpg,画像,mauri商品実写（モデル使用シーン）,,
clip-017,clip-017.mp4,クリップ,NZ製造工程（Process and Pack）,,
clip-018,clip-018.MOV,クリップ,mauri使用モデル動画（実写）,,
